index,freq,nrg_bal,siec,unit,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
809868,A,TI_EHG_MAPCHP_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818614,A,TI_EHG_MAPE_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818654,A,TI_EHG_MAPE_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818694,A,TI_EHG_MAPE_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827452,A,TI_EHG_MAPH_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827492,A,TI_EHG_MAPH_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827532,A,TI_EHG_MAPH_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836233,A,TI_GTL_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836273,A,TI_GTL_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836313,A,TI_GTL_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844933,A,TI_GW_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844973,A,TI_GW_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845013,A,TI_GW_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853684,A,TI_LBB_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853724,A,TI_LBB_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853764,A,TI_LBB_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862348,A,TI_NE,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862388,A,TI_NE,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862428,A,TI_NE,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871117,A,TI_NRG_FC_IND_NE,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871157,A,TI_NRG_FC_IND_NE,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871197,A,TI_NRG_FC_IND_NE,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879901,A,TI_NSP_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879941,A,TI_NSP_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879981,A,TI_NSP_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888727,A,TI_PF_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888767,A,TI_PF_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888807,A,TI_PF_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897478,A,TI_RPI_BPI_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897518,A,TI_RPI_BPI_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897558,A,TI_RPI_BPI_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906193,A,TI_RPI_DU_E,E7000,GWH,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906233,A,TI_RPI_DU_E,E7000,KTOE,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906273,A,TI_RPI_DU_E,E7000,TJ,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
